Werte;Reihe;Testlaufnummer;Run
3419;HTTP2;1;1
3427;HTTP2;1;2
3443;HTTP2;1;3
3431;HTTP2;1;4
3438;HTTP2;1;5
3438;HTTP2;1;6
3437;HTTP2;1;7
3396;HTTP2;1;8
3442;HTTP2;1;9
3478;HTTP2;2;1
3419;HTTP2;2;2
3501;HTTP2;2;3
3379;HTTP2;2;4
3509;HTTP2;2;5
3491;HTTP2;2;6
3382;HTTP2;2;7
3280;HTTP2;2;8
3449;HTTP2;2;9
3363;HTTP2;3;1
3439;HTTP2;3;2
3435;HTTP2;3;3
3441;HTTP2;3;4
3426;HTTP2;3;5
3442;HTTP2;3;6
3388;HTTP2;3;7
3415;HTTP2;3;8
3475;HTTP2;3;9
1981;HTTP1;1;1
1986;HTTP1;1;2
2082;HTTP1;1;3
2074;HTTP1;1;4
2083;HTTP1;1;5
1984;HTTP1;1;6
2068;HTTP1;1;7
1977;HTTP1;1;8
1980;HTTP1;1;9
2083;HTTP1;2;1
2179;HTTP1;2;2
1983;HTTP1;2;3
2183;HTTP1;2;4
1986;HTTP1;2;5
1982;HTTP1;2;6
1983;HTTP1;2;7
1978;HTTP1;2;8
2175;HTTP1;2;9
1980;HTTP1;3;1
2084;HTTP1;3;2
1984;HTTP1;3;3
2178;HTTP1;3;4
1978;HTTP1;3;5
1983;HTTP1;3;6
2083;HTTP1;3;7
1982;HTTP1;3;8
1979;HTTP1;3;9
