Date;Time;Event Name;URL;Load Time (ms);Time to First Byte (ms);unused;Bytes Out;Bytes In;DNS Lookups;Connections;Requests;OK Responses;Redirects;Not Modified;Not Found;Other Responses;Error Code;Time to Start Render (ms);Segments Transmitted;Segments Retransmitted;Packet Loss (out);Activity Time(ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Doc Complete Time (ms);Event GUID;Time to DOM Element (ms);Includes Object Data;Cache Score;Static CDN Score;One CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Bytes Out (Doc);Bytes In (Doc);DNS Lookups (Doc);Connections (Doc);Requests (Doc);OK Responses (Doc);Redirects (Doc);Not Modified (Doc);Not Found (Doc);Other Responses (Doc);Compression Score;Host;IP Address;ETag Score;Flagged Requests;Flagged Connections;Max Simultaneous Flagged Connections;Time to Base Page Complete (ms);Base Page Result;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Base Page Redirects;Optimization Checked;AFT (ms);DOM Elements;PageSpeed Version;Page Title;Time to Title;Load Event Start;Load Event End;DOM Content Ready Start;DOM Content Ready End;Visually Complete (ms);Browser Name;Browser Version;Base Page Server Count;Base Page Server RTT;Base Page CDN;Adult Site;Run;Cached;Speed Index;domInteractive;Start Time (Object Data);DOM Erstellung (domInteractive - StartTime)
07.10.2016;18:38:12;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1315;306;;7561;546866;2;2;65;65;0;0;0;0;0;1083;;;;1348;;;;;0;;;2;0;1315;;;1;99;0;-1;-1;-1;100;-1;-1;100;7561;546402;2;2;65;65;0;0;0;0;61;;;-1;;;;307;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;639;1310;1312;966;967;1283;Firefox;47.0.0.5999;1;52;;0;1;0;1102;491;309;182
07.10.2016;18:38:44;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1286;283;;7519;546822;2;2;65;65;0;0;0;0;0;976;;;;1322;;;;;0;;;2;0;1286;;;1;99;0;-1;-1;-1;100;-1;-1;100;7519;546333;2;2;65;65;0;0;0;0;61;;;-1;;;;284;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;614;1294;1296;958;958;1288;Firefox;47.0.0.5999;1;46;;0;2;0;1003;463;286;177
07.10.2016;18:39:16;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1306;304;;7590;546821;2;2;65;65;0;0;0;0;0;1083;;;;1340;;;;;0;;;2;0;1306;;;1;99;0;-1;-1;-1;100;-1;-1;100;7590;546333;2;2;65;65;0;0;0;0;61;;;-1;;;;305;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;626;1305;1308;962;962;1308;Firefox;47.0.0.5999;1;51;;0;3;0;1102;487;308;179
07.10.2016;18:39:48;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1269;272;;7360;546842;2;2;65;65;0;0;0;0;0;1083;;;;1301;;;;;0;;;2;0;1269;;;1;99;0;-1;-1;-1;100;-1;-1;100;7360;546377;2;2;65;65;0;0;0;0;61;;;-1;;;;273;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;604;1268;1271;964;964;1271;Firefox;47.0.0.5999;1;46;;0;4;0;1102;461;275;186
07.10.2016;18:40:19;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1293;286;;7360;546848;2;2;65;65;0;0;0;0;0;1083;;;;1314;;;;;0;;;2;0;1293;;;1;99;0;-1;-1;-1;100;-1;-1;100;7360;546361;2;2;65;65;0;0;0;0;61;;;-1;;;;287;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;619;1288;1291;964;964;1295;Firefox;47.0.0.5999;1;51;;0;5;0;1102;480;289;191
07.10.2016;18:40:50;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1311;311;;7476;546873;2;2;65;65;0;0;0;0;0;1023;;;;1345;;;;;0;;;2;0;1311;;;1;99;0;-1;-1;-1;100;-1;-1;100;7476;546408;2;2;65;65;0;0;0;0;61;;;-1;;;;312;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;640;1311;1313;982;982;1283;Firefox;47.0.0.5999;1;52;;0;6;0;1003;498;315;183
07.10.2016;18:41:21;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1280;272;;7561;546837;2;2;65;65;0;0;0;0;0;1082;;;;1314;;;;;0;;;2;0;1280;;;1;99;0;-1;-1;-1;100;-1;-1;100;7561;546373;2;2;65;65;0;0;0;0;61;;;-1;;;;273;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;594;1280;1282;934;934;1282;Firefox;47.0.0.5999;1;45;;0;7;0;1102;459;275;184
07.10.2016;18:41:52;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1302;294;;7389;546820;2;2;65;65;0;0;0;0;0;1083;;;;1338;;;;;0;;;2;0;1302;;;1;99;0;-1;-1;-1;100;-1;-1;100;7389;546333;2;2;65;65;0;0;0;0;61;;;-1;;;;295;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;627;1298;1300;931;932;1304;Firefox;47.0.0.5999;1;51;;0;8;0;1102;489;297;192
07.10.2016;18:42:24;Step 1;https://im-im2.hdm-stuttgart.de/dozenten2.html;1309;298;;7432;546837;2;2;65;65;0;0;0;0;0;1082;;;;1333;;;;;0;;;2;0;1309;;;1;99;0;-1;-1;-1;100;-1;-1;100;7432;546373;2;2;65;65;0;0;0;0;61;;;-1;;;;299;200;0;0;;;174628;66480;0;1;;602;;Medienmaster;623;1306;1308;950;951;1311;Firefox;47.0.0.5999;1;51;;0;9;0;1102;484;301;183
