Werte;Reihe;Testlaufnummer;Run
1283;Server Push_CSS und _Bilder;1;1
1303;Server Push_CSS und _Bilder;1;2
1291;Server Push_CSS und _Bilder;1;3
1303;Server Push_CSS und _Bilder;1;4
1286;Server Push_CSS und _Bilder;1;5
1298;Server Push_CSS und _Bilder;1;6
1309;Server Push_CSS und _Bilder;1;7
1309;Server Push_CSS und _Bilder;1;8
1279;Server Push_CSS und _Bilder;1;9
1288;Server Push_CSS und _Bilder;2;1
1305;Server Push_CSS und _Bilder;2;2
1553;Server Push_CSS und _Bilder;2;3
1295;Server Push_CSS und _Bilder;2;4
1277;Server Push_CSS und _Bilder;2;5
1308;Server Push_CSS und _Bilder;2;6
1285;Server Push_CSS und _Bilder;2;7
1259;Server Push_CSS und _Bilder;2;8
1279;Server Push_CSS und _Bilder;2;9
1315;Server Push_CSS und _Bilder;3;1
1286;Server Push_CSS und _Bilder;3;2
1306;Server Push_CSS und _Bilder;3;3
1269;Server Push_CSS und _Bilder;3;4
1293;Server Push_CSS und _Bilder;3;5
1311;Server Push_CSS und _Bilder;3;6
1280;Server Push_CSS und _Bilder;3;7
1302;Server Push_CSS und _Bilder;3;8
1309;Server Push_CSS und _Bilder;3;9
1337;Server Push_CSS;1;1
1365;Server Push_CSS;1;2
1331;Server Push_CSS;1;3
1355;Server Push_CSS;1;4
1355;Server Push_CSS;1;5
1280;Server Push_CSS;1;6
1259;Server Push_CSS;1;7
1346;Server Push_CSS;1;8
1357;Server Push_CSS;1;9
1367;Server Push_CSS;2;1
1351;Server Push_CSS;2;2
1336;Server Push_CSS;2;3
1340;Server Push_CSS;2;4
1341;Server Push_CSS;2;5
1340;Server Push_CSS;2;6
1352;Server Push_CSS;2;7
1343;Server Push_CSS;2;8
1347;Server Push_CSS;2;9
1293;Server Push_CSS;3;1
1356;Server Push_CSS;3;2
1350;Server Push_CSS;3;3
1349;Server Push_CSS;3;4
1342;Server Push_CSS;3;5
1371;Server Push_CSS;3;6
1481;Server Push_CSS;3;7
1296;Server Push_CSS;3;8
1359;Server Push_CSS;3;9
